TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_VL_LIQUIDEZ_0;TAB_X_VL_LIQUIDEZ_30;TAB_X_VL_LIQUIDEZ_60;TAB_X_VL_LIQUIDEZ_90;TAB_X_VL_LIQUIDEZ_180;TAB_X_VL_LIQUIDEZ_360;TAB_X_VL_LIQUIDEZ_MAIOR_360
Classe;11.701.985/0001-07;VALORA GUARDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;17220898.10;154882887.60;157816415.80;159057735.98;161369589.85;176128086.37;176128086.37
Classe;11.812.962/0001-61;BERLANDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO ECONÔMICO FINANCEIRO;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.813.230/0001-96;MA MÁQUINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO DO AGRONEGÓCIO;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.823.118/0001-36;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL PREVIA;2025-02-28;4993964.75;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.827.500/0001-18;FC FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.888.461/0001-69;ITU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;108020.30;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.902.354/0001-48;FM1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-  RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;11.989.256/0001-90;FIDC MULTISETORIAL MASTER II;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.036.226/0001-21;SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.036.247/0001-47;SG III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.093.804/0001-61;CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.138.813/0001-21;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.138.862/0001-64;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SILVERADO MAXIMUM II;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.144.737/0001-67;CREDIT BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL MASTER - EM LIQUIDAÇÃO;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.167.116/0001-07;VIA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.182.585/0001-97;AGRO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.227.850/0001-06;G5 BR INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.236.809/0001-04;PLR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;27167220.04;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.254.372/0001-23;GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;38641400.54;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.330.846/0001-79;LHOTSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.377.935/0001-70;MATURITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.385.897/0001-06;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RED P;2025-02-28;13770517.26;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.400.421/0001-99;LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.400.426/0001-11;MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;2986932.04;18150189.84;14795352.13;15428093.27;11953465.97;6906120.38;2618022.74
Classe;12.428.086/0001-37;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.440.789/0001-80;LME REC MULTISETORIAL IPCA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.565.143/0001-20;FC2 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.579.631/0001-96;VINCI CRÉDITO E DESENVOLVIMENTO I - FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.610.459/0001-96;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA GOAL ONE;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.660.458/0001-56;FC4 FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.660.462/0001-14;FC3 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;12.660.468/0001-91;FC5 FI EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDA LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
